[11.09.2024 17:57:12.619] :::: Перевод с карты: 1111111111111111 на карту: 1212121212121212. сумма: 10000, комиссия: 100. Результат: УСПЕШНО
[12.09.2024 11:57:47.316] :::: Перевод с неизвестной карты: 1212121212121212, результат: НЕУСПЕШНО
[12.09.2024 11:58:48.215] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[12.09.2024 08:59:07.335] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 10:11:55.201] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 10:16:34.939] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 10:25:42.450] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 10:34:55.258] :::: Перевод с карты: 0000000000000000 на карту: 0000000000009999. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 11:27:20.500] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 11:27:29.447] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 12:17:31.861] :::: Перевод с неизвестной карты: 0000000000000010, результат: НЕУСПЕШНО
[13.09.2024 12:25:53.673] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 12:25:53.683] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:20:57.688] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:20:57.699] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:22:08.410] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:22:08.420] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:23:13.356] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:23:13.366] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:36:35.413] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:36:35.424] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:36:35.434] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 13:52:30.685] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:52:30.695] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:52:30.707] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 13:52:30.718] :::: Недостаточно средств на карте: 0000000000000000, результат: НЕУСПЕШНО
[13.09.2024 13:53:22.642] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:53:22.654] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:53:22.662] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 13:53:22.672] :::: Недостаточно средств на карте: 0000000000000000, результат: НЕУСПЕШНО
[13.09.2024 13:55:47.659] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 13:55:47.669] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 13:55:47.686] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 13:55:47.696] :::: Недостаточно средств на карте: 0000000000000000, результат: НЕУСПЕШНО
[13.09.2024 14:01:44.893] :::: Перевод с карты: 0000000000000000 на карту: 1111111111111111. сумма: 100, комиссия: 1. Результат: УСПЕШНО
[13.09.2024 14:01:44.905] :::: Перевод с неизвестной карты: 2345622222222222, результат: НЕУСПЕШНО
[13.09.2024 14:01:44.915] :::: Недостаточно средств на карте: 3333333333333333, результат: НЕУСПЕШНО
[13.09.2024 14:01:44.925] :::: Недостаточно средств на карте: 0000000000000000, результат: НЕУСПЕШНО
